Date,OPEN,HIGH,LOW,PREV_CLOSE,VOLUME,symbol_name
1/12/2023,2524.85,2532.50,2465.00,2526.15,"81,63,366",RELIANCE
1/11/2023,2552.50,2558.00,2521.10,2558.40,"53,11,657",RELIANCE
1/10/2023,2606.00,2606.00,2546.00,2596.80,"37,13,755",RELIANCE
1/9/2023,2545.30,2602.00,2543.35,2536.90,"49,48,549",RELIANCE
1/6/2023,2526.65,2547.95,2518.30,2514.05,"29,30,338",RELIANCE
1/5/2023,2523.50,2536.40,2504.00,2518.55,"62,93,519",RELIANCE
1/4/2023,2557.00,2561.05,2514.00,2557.05,"42,75,746",RELIANCE
1/3/2023,2565.05,2573.00,2547.80,2575.90,"35,34,596",RELIANCE
1/2/2023,2550.00,2579.00,2548.20,2547.20,"24,53,414",RELIANCE
12/30/2022,2545.10,2577.00,2541.10,2543.30,"33,64,092",RELIANCE
12/29/2022,2527.00,2548.90,2525.50,2544.45,"31,98,493",RELIANCE
12/28/2022,2538.00,2549.80,2521.50,2544.70,"34,42,509",RELIANCE
12/27/2022,2530.00,2548.80,2515.25,2524.05,"26,59,749",RELIANCE
12/26/2022,2514.75,2542.00,2492.40,2502.20,"27,64,496",RELIANCE
12/23/2022,2563.30,2590.50,2492.25,2577.80,"47,33,657",RELIANCE
12/22/2022,2598.00,2604.65,2566.75,2584.50,"34,38,692",RELIANCE
12/21/2022,2621.00,2633.00,2576.10,2621.80,"39,35,463",RELIANCE
12/20/2022,2583.90,2626.00,2566.00,2599.30,"34,46,291",RELIANCE
12/19/2022,2581.00,2604.00,2566.70,2565.60,"35,67,363",RELIANCE
12/16/2022,2571.00,2618.80,2558.15,2578.35,"73,08,934",RELIANCE
12/15/2022,2602.50,2615.00,2571.00,2615.50,"40,09,765",RELIANCE
12/14/2022,2637.65,2638.95,2611.00,2625.00,"33,54,618",RELIANCE
12/13/2022,2613.10,2633.00,2606.70,2613.10,"38,45,839",RELIANCE
12/12/2022,2585.50,2623.00,2585.00,2609.10,"43,74,946",RELIANCE
12/9/2022,2646.00,2660.00,2601.85,2649.25,"58,40,633",RELIANCE
12/8/2022,2660.00,2665.00,2640.10,2650.50,"35,79,858",RELIANCE
12/7/2022,2685.00,2695.00,2642.15,2690.20,"39,05,263",RELIANCE
12/6/2022,2665.10,2697.00,2661.00,2682.45,"39,66,243",RELIANCE
12/5/2022,2712.00,2716.75,2678.00,2722.15,"68,43,367",RELIANCE
12/2/2022,2730.00,2748.00,2700.60,2723.30,"53,48,595",RELIANCE
12/1/2022,2741.80,2755.00,2716.00,2731.35,"43,77,696",RELIANCE
11/30/2022,2712.50,2745.45,2698.20,2712.20,"1,20,75,137",RELIANCE
11/29/2022,2703.95,2731.65,2694.00,2707.55,"51,03,687",RELIANCE
11/28/2022,2608.90,2721.05,2502.00,2617.60,"1,45,49,929",RELIANCE
